https://docs.blockscout.com/about/projects
(...plus chains.json...)

> means not in chainlist or sourcify's chains.json
~ means conflicts with something in such
% means bad cert (didn't note this if went in unknown networks bucket)

known networks:
chainID	name			networkID	url
1	mainnet			1		eth.blockscout.com
5	goerli			5		eth-goerli.blockscout.com
61	ethereum classic	1 (!)		blockscout.com/etc/mainnet
63	ethereum classic mordor	7 (!)		blockscout.com/etc/mordor
6	ethereum classic kotti	6		blockscout.com/etc/kotti
100	gnosis			100		blockscout.com/xdai/mainnet
10200	gnosis chiado		10200		blockscout.com/gnosis/chiado
592	astar			592		blockccout.com/astar
336	astar shiden		592		blockscout.com/shiden
~81	astar shibuya		81		blockscout.com/shibuya
10	optimism		10		blockscout.com/optimism/mainnet
420	optimism goerli		420		blockscout.com/optimism/goerli
99	poa core		99		blockscout.com/poa/core
77	poa sokol		77		blockscout.com/poa/sokol
246529	ARTIS sigma1		246529		blockscout.com/artis/sigma1
~22	LUKSO L14		22		blockscout.com/lukso/l14
30	RSK mainnet		30		blockscout.com/rsk/mainnet

42220	celo mainnet		42220		explorer.celo.org/mainnet
44787	celo alfajores		44787		explorer.celo.org/alfajores
62320	celo baklava		62320		explorer.celo.org/baklava
>17323	celo cannoli		17323		explorer.celo.org/cannoli
820	callisto		1 (!)		callisto.network
11297108109	palm		11297108109	explorer.palm.io
11297108099	palm testnet	11297108099	explorer.palm-uat.xyz
122	fuse			122		explorer.fuse.io
14	flare mainnet		14		flare-explorer.flare.network
19	flare songbird		19		songbird-explorer.flare.network
16	flare coston		16		coston-explorer.flare.network
114	flare coston2		114		coston2-explorer.flare.network
2046399126	skale europa	2046399126	elated-tan-skat.explorer.mainnet.skalenodes.com
42262	oasis emerald		42262		explorer.emerald.oasis.dev
2009	cloudwalk mainnet	2009		explorer.mainnet.cloudwalk.io
2008	cloudwalk testnet	2008		explorer.testnet.cloudwalk.io

416	sx			416		explorer.sx.technology
2000	dogechain		2000		explorer.dogechain.dog
568	dogechain testnet	568		exporer-testnet.dogechain.dog

42170	arbitrum nova		42170		nova-explorer.arbitrum.io
1088	metis andromeda		1088		andromeda-explorer.metis.io
599	metis goerli		599		goerli.explorer.metisdevops.link
43288	avalanche boba		43288	blockexplorer.avax.boba.network
4328	avalanche bobafuji 	4328	blockexplorer.testnet.avax.boba.network
56288	binance boba		56288	blockexplorer.bnb.boba.network
9728	binance boba testnet	9728	blockexplorer.testnet.bnb.boba.network
1294	bobabeam		1294	blockexplorer.bobabeam.boba.network
1297	bobabase		1297	blockexplorer.bobabase.boba.network
301	bobaopera		301	blockexplorer.bobaopera.boba.network
4051	bobaopera testnet	4051	blockexplorer.testnet.bobaopera.boba.network
5551	nahmii			5551		explorer.nahmii.io
534353	scroll alpha testnet	534353		blockscout.scroll.io
1000	GTON			1000		explorer.gton.network
50021	GTON testnet		50021		explorer.testnet.gton.network
>719	shib testnet		719		puppyscan.shib.io

1284	moonbeam	1284	blockscout.moonbeam.network
1285	moonriver	1285	blockscout.moonriver.moonbeam.network
1287	moonbase alpha	1287	moonbase-blockscout.testnet.moonbeam.network
787	acala		787	blockscout.acala.network
595	acala mandala	595	blockscout.mandala.acala.network
686	karura		686	blockscout.karura.network
2021	edgeware	2021	edgscan.live
2109	exosama		2109	explorer.exosama.com

25	cronos			25	cronos.org/explorer
9001	evmos			9001	blockscout.evmos.org
